avtocod;enodebid;cellid;cellname;band;azimuth;hbw;power;tilt;nc_latitude;nc_longitude;height;eventtime;neighbour;latitude;longitude;altitude;h3_15;servingcellrsrp;servingcellrsrq
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:15.843000;1;53.20205569267273;50.109050273895264;0.0;644305104430278486;-73.0;-4.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:18.336000;1;53.10449838638306;49.99223470687866;978.0;644305110824436139;-88.0;-5.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:19.937000;1;53.10423016548157;49.9918270111084;998.0;644305110824390722;-85.0;-6.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:21.013000;1;53.20209860801697;50.11113166809082;0.0;644305104422508046;-91.0;-8.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:21.225000;1;53.1238317489624;49.94886875152588;987.0;644305108488816715;-62.0;-4.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:22.020000;1;53.20233464241028;50.112762451171875;0.0;644305104422320341;-91.0;-9.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:23.457000;1;53.10358643531799;49.99079704284668;979.0;644305110824412078;-94.0;-8.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:23.547000;1;53.20254921913147;50.11113166809082;107.0;644305104422324627;-57.0;-4.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:09:25.969000;1;53.20148706436157;50.10632514953613;0.0;644305104434256677;-114.0;-11.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:29.856000;1;53.202162981033325;50.109500885009766;0.0;644305104422521622;-89.0;-7.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:29.983000;1;53.2023024559021;50.111238956451416;36.0;644305104422507102;-65.0;-5.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:30.603000;1;53.102298974990845;49.9888014793396;981.0;644305110814741938;-97.0;-13.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:33.903000;1;53.10159087181091;49.98811483383179;1000.0;644305110814702306;-85.0;-5.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:34.594000;1;53.12588095664978;49.967687129974365;993.0;644305108422642805;-56.0;-5.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:35.268000;1;53.202162981033325;50.109500885009766;0.0;644305104422521622;-89.0;-6.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:09:36.200000;1;53.10120463371277;49.98481035232544;987.0;644305110814900298;-116.0;-12.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:36.241000;1;53.2023024559021;50.111238956451416;36.0;644305104422507102;-59.0;-6.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:39.035000;1;53.10062527656555;49.98674154281616;1000.0;644305110814774574;-86.0;-5.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:39.727000;1;53.12606334686279;49.9697470664978;993.0;644305108422682868;-58.0;-5.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:44.822000;1;53.12606334686279;49.97180700302124;993.0;644305108423561526;-58.0;-4.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:09:45.131000;1;53.100045919418335;49.98150587081909;987.0;644305110814558225;-117.5;-14.0
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:49.794000;1;53.100292682647705;49.981441497802734;1009.0;644305110814577961;-85.0;-7.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:49.948000;1;53.12589168548584;49.97386693954468;992.0;644305108423574929;-62.0;-6.75
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:09:54.258000;1;53.1000030040741;49.97976779937744;1004.0;644305110822410880;-104.0;-9.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:54.939000;1;53.099799156188965;49.979445934295654;1008.0;644305110822411285;-85.0;-5.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:09:58.112000;1;53.0984365940094;49.97689247131348;986.0;644305110827318041;-115.0;-12.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:58.826000;1;53.12558054924011;49.97573375701904;993.0;644305108423445188;-59.0;-4.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:00.886000;1;53.202152252197266;50.109500885009766;0.0;644305104422521765;-90.0;-6.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:01.148000;1;53.20259213447571;50.11209726333618;36.0;644305104422308608;-85.0;-8.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:01.181000;1;53.20282816886902;50.11218309402466;0.0;644305104422328162;-80.0;-8.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:10:03.234000;1;53.09837222099304;49.97672080993652;986.0;644305110827317366;-117.0;-12.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:03.945000;1;53.12517285346985;49.97775077819824;993.0;644305108415683456;-58.0;-6.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:05.840000;1;53.202152252197266;50.109500885009766;0.0;644305104422521765;-96.0;-8.75
